2023-07-23 11:24:05,758 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2023-07-23 11:24:05,788 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2023-07-23 11:24:05,788 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2023-07-23 11:24:05,788 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2023-07-23 11:24:05,788 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2023-07-23 11:24:05,788 INFO  SwAddin.cs: 197 - Setting up callbacks
2023-07-23 11:24:05,798 INFO  SwAddin.cs: 201 - Setting up command manager
2023-07-23 11:24:05,798 INFO  SwAddin.cs: 204 - Adding command manager
2023-07-23 11:24:05,798 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2023-07-23 11:24:05,798 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2023-07-23 11:24:05,798 INFO  SwAddin.cs: 210 - Adding event handlers
2023-07-23 11:24:05,798 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2023-07-23 11:25:22,578 INFO  SwAddin.cs: 294 - Assembly export called for file modified-urdf导出装配体
2023-07-23 11:25:22,578 INFO  SwAddin.cs: 299 - Save is required
2023-07-23 11:25:22,578 INFO  SwAddin.cs: 313 - Saving assembly
2023-07-23 11:25:27,129 INFO  SwAddin.cs: 316 - Opening property manager
2023-07-23 11:25:27,139 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from modified-urdf导出装配体
2023-07-23 11:25:27,149 INFO  ExportHelperExtension.cs: 1136 - Found 337 in modified-urdf导出装配体
2023-07-23 11:25:27,149 INFO  ExportHelperExtension.cs: 1145 - Found 8 features of type [CoordSys] in modified-urdf导出装配体
2023-07-23 11:25:27,149 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2023-07-23 11:25:27,149 INFO  ExportHelperExtension.cs: 1160 - 184 components to check
2023-07-23 11:25:27,149 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from modified-urdf导出装配体
2023-07-23 11:25:27,149 INFO  ExportHelperExtension.cs: 1136 - Found 337 in modified-urdf导出装配体
2023-07-23 11:25:27,149 INFO  ExportHelperExtension.cs: 1145 - Found 9 features of type [RefAxis] in modified-urdf导出装配体
2023-07-23 11:25:27,149 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2023-07-23 11:25:27,149 INFO  ExportHelperExtension.cs: 1160 - 184 components to check
2023-07-23 11:25:27,991 INFO  SwAddin.cs: 339 - Loading config tree
2023-07-23 11:25:28,001 INFO  ExportPropertyManagerExtension.cs: 520 - Starting new configuration
2023-07-23 11:25:28,001 INFO  SwAddin.cs: 344 - Showing property manager
2023-07-23 11:25:37,895 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2023-07-23 11:25:39,797 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2023-07-23 11:25:57,309 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2023-07-23 11:26:03,334 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2023-07-23 11:26:07,307 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2023-07-23 11:26:28,749 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2023-07-23 11:26:47,248 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2023-07-23 11:26:51,765 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2023-07-23 11:26:58,380 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
